date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-04-20,50,77,55,665580,50
2024-04-21,6,11,23,181300,6
2024-04-22,0,1,1,8000,0
2024-04-23,1,3,2,36600,1
2024-04-24,15,17,16,43200,8
2024-04-25,3,4,2,32200,1
2024-04-26,5,31,16,445900,5
2024-04-27,0,3,1,24200,0
2024-04-28,0,0,0,0,0
2024-04-29,0,0,0,0,0
2024-04-30,0,0,0,0,0
2024-05-01,0,0,0,0,0
2024-05-02,0,0,0,0,0
2024-05-03,0,0,0,0,0
2024-05-04,0,0,0,0,0
2024-05-05,0,0,0,0,0
2024-05-06,0,0,0,0,0
2024-05-07,0,0,0,0,0
2024-05-08,0,0,0,0,0
2024-05-09,0,0,0,0,0
2024-05-10,0,0,0,0,0
2024-05-11,0,0,0,0,0
2024-05-12,0,0,0,0,0
2024-05-13,0,0,0,0,0
2024-05-14,0,0,0,0,0
2024-05-15,0,0,0,0,0
2024-05-16,0,0,0,0,0
2024-05-17,0,0,0,0,0
2024-05-18,0,0,0,0,0
2024-05-19,0,0,0,0,0
2024-05-20,0,0,0,0,0
2024-05-21,0,0,0,0,0
2024-05-22,0,0,0,0,0
2024-05-23,0,0,0,0,0
2024-05-24,0,0,0,0,0
2024-05-25,0,0,0,0,0
2024-05-26,0,0,0,0,0
2024-05-27,0,0,0,0,0
2024-05-28,0,0,0,0,0
2024-05-29,0,0,0,0,0
2024-05-30,0,0,0,0,0
2024-05-31,0,0,0,0,0
2024-06-01,0,0,0,0,0
2024-06-02,0,0,0,0,0
2024-06-03,0,0,0,0,0
2024-06-04,0,0,0,0,0
2024-06-05,0,0,0,0,0
2024-06-06,0,0,0,0,0
2024-06-07,0,0,0,0,0
2024-06-08,0,0,0,0,0
2024-06-09,0,0,0,0,0
2024-06-10,0,0,0,0,0
2024-06-11,0,0,0,0,0
2024-06-12,0,0,0,0,0
2024-06-13,0,0,0,0,0
2024-06-14,0,0,0,0,0
2024-06-15,0,0,0,0,0
2024-06-16,0,0,0,0,0
2024-06-17,0,0,0,0,0
2024-06-18,0,0,0,0,0
2024-06-19,0,0,0,0,0
2024-06-20,0,0,0,0,0
2024-06-21,0,0,0,0,0
2024-06-22,0,0,0,0,0
2024-06-23,0,0,0,0,0
2024-06-24,0,0,0,0,0
2024-06-25,0,0,0,0,0
2024-06-26,0,0,0,0,0
2024-06-27,0,0,0,0,0
2024-06-28,0,0,0,0,0
2024-06-29,0,0,0,0,0
2024-06-30,0,0,0,0,0
2024-07-01,0,0,0,0,0
2024-07-02,0,0,0,0,0
2024-07-03,0,0,0,0,0
2024-07-04,0,0,0,0,0
2024-07-05,0,0,0,0,0
2024-07-06,0,0,0,0,0
2024-07-07,0,0,0,0,0
2024-07-08,0,0,0,0,0
2024-07-09,0,0,0,0,0
2024-07-10,0,0,0,0,0
2024-07-11,0,0,0,0,0
2024-07-12,0,0,0,0,0
2024-07-13,0,0,0,0,0
2024-07-14,0,0,0,0,0
2024-07-15,0,0,0,0,0
2024-07-16,0,0,0,0,0
2024-07-17,0,0,0,0,0
2024-07-18,0,0,0,0,0
